Boerboel List
Id,Name,Chip number,Weight,Mother chip Number, Dad chip number
1,Koffiewater Smous,19840035001,0,19840082014,19840082101
2,Koffiewater Jackie,19840035002,0,19840051100,19840051101
3,Waaksaam Macutini,19840185001,7333,19840056100,19870070001
4,Slamat Lindi,19800151001,0,19840136002,19890003003
9,Columbus Columbus,19800410001,0,19840035002,19840035001
10,Columbus Jasmyn,19800410002,0,19800151001,19840185001
11,Egoli Rufus,19930326104,0,19890000013,19920070023
12,Egoli Tosca,19920326001,819,19890000013,19910000102
5,Lourina Ouboet,19920070023,7233,19900070009,19870070001
6,Steyn Sonja,19890000013,776,1987040000401,1984040000501
